,population,state_name,month,year_2019,date_2019,consumption_2019,scaled_consumption_2019,year_2020,date_2020,consumption_2020,scaled_consumption_2020,change,group
0,1097379,Rhode Island,1,2019,January 2019,1718920,1.5663868180455431,2020,January 2020,2054126,1.871847374516917,19.500965722663068,Negative
1,1097379,Rhode Island,2,2019,February 2019,1439354,1.3116288902922326,2020,February 2020,2298268,2.0943247501546867,59.673575784692304,Negative
2,1097379,Rhode Island,3,2019,March 2019,2227806,2.0301153931321814,2020,March 2020,2522226,2.298409209580282,13.215692928378864,Negative
3,1097379,Rhode Island,4,2019,April 2019,2331051,2.1241986588042963,2020,April 2020,2715588,2.474612690784132,16.496292873901087,Negative
4,1097379,Rhode Island,5,2019,May 2019,2453248,2.235552165660178,2020,May 2020,2609200,2.377665328022497,6.3569602420953775,Negative
5,1097379,Rhode Island,6,2019,June 2019,2446460,2.2293665178575495,2020,June 2020,3723666,3.393236065206278,52.20628990459685,Negative
6,1097379,Rhode Island,7,2019,July 2019,3824994,3.485572441244092,2020,July 2020,3879734,3.53545493398361,1.4311133559948068,Negative
7,1097379,Rhode Island,8,2019,August 2019,3957180,3.6060285461996266,2020,August 2020,3752168,3.4192088603846074,-5.180760036187386,Negative
8,1097379,Rhode Island,9,2019,September 2019,2622026,2.3893531769789655,2020,September 2020,3634758,3.3122175656723885,38.624025848713934,Negative
9,1097379,Rhode Island,10,2019,October 2019,3241679,2.95401953199396,2020,October 2020,2709611,2.469166076624393,-16.413346293695337,Negative
10,1097379,Rhode Island,11,2019,November 2019,2468758,2.249685842357107,2020,November 2020,3333496,3.0376888932629473,35.02724851929594,Negative
11,1097379,Rhode Island,12,2019,December 2019,1766133,1.609410240217828,2020,December 2020,2346916,2.138655833581652,32.884443017598336,Negative
24,2117522,New Mexico,1,2019,January 2019,11669429,5.510889143064393,2020,January 2020,12643692,5.9709849531669565,8.348848945393986,Negative
25,2117522,New Mexico,2,2019,February 2019,12075187,5.702508403690729,2020,February 2020,10633496,5.021669668603207,-11.939285081050919,Negative
26,2117522,New Mexico,3,2019,March 2019,8745653,4.130135601896934,2020,March 2020,10337606,4.88193558319583,18.20279171835425,Negative
27,2117522,New Mexico,4,2019,April 2019,10176465,4.805836728024549,2020,April 2020,10044152,4.743351899059372,-1.3001862631080634,Negative
28,2117522,New Mexico,5,2019,May 2019,9993524,4.719442820428784,2020,May 2020,10170843,4.803181737899299,1.7743390619765358,Negative
29,2117522,New Mexico,6,2019,June 2019,11824341,5.584046352292916,2020,June 2020,12205820,5.764199852469066,3.226217850111055,Negative
30,2117522,New Mexico,7,2019,July 2019,13640252,6.4416105239992785,2020,July 2020,13798061,6.516135841799991,1.156936103526533,Negative
31,2117522,New Mexico,8,2019,August 2019,14475550,6.836080097396863,2020,August 2020,13771822,6.503744471131823,-4.861494036496023,Negative
32,2117522,New Mexico,9,2019,September 2019,12884308,6.084615885927041,2020,September 2020,13018625,6.148047104115093,1.0424851687805041,Negative
33,2117522,New Mexico,10,2019,October 2019,12074429,5.702150438106428,2020,October 2020,9218006,4.353204358679626,-23.656795696094616,Negative
34,2117522,New Mexico,11,2019,November 2019,11322129,5.346876679439458,2020,November 2020,9130451,4.311856500192206,-19.35747243296733,Negative
35,2117522,New Mexico,12,2019,December 2019,11816781,5.580476141452131,2020,December 2020,11329777,5.3504884482900295,-4.121291576783897,Negative
36,3104614,Nevada,1,2019,January 2019,12369834,3.9843387938081833,2020,January 2020,12344346,3.9761290775600444,-0.2060496527277569,Negative
37,3104614,Nevada,2,2019,February 2019,11782308,3.7950959442945242,2020,February 2020,11612516,3.7404057315981953,-1.441075891073294,Negative
38,3104614,Nevada,3,2019,March 2019,11837462,3.81286111574579,2020,March 2020,12552033,4.043025316512778,6.036522017979867,Negative
39,3104614,Nevada,4,2019,April 2019,11049926,3.559194798451595,2020,April 2020,11723332,3.776099701927518,6.094212757623898,Negative
40,3104614,Nevada,5,2019,May 2019,11428260,3.6810566466555907,2020,May 2020,12602778,4.059370343624038,10.277312556767173,Negative
41,3104614,Nevada,6,2019,June 2019,14392376,4.6358020675034,2020,June 2020,14480971,4.6643386263155415,0.615568965124313,Negative
42,3104614,Nevada,7,2019,July 2019,16961242,5.463236975675559,2020,July 2020,16786999,5.407113090387404,-1.0273009488338176,Negative
43,3104614,Nevada,8,2019,August 2019,17825444,5.741597506163407,2020,August 2020,17654758,5.686619334964025,-0.957541366150543,Negative
44,3104614,Nevada,9,2019,September 2019,14814945,4.771912063786352,2020,September 2020,15546859,5.007662466251843,4.9403760864451405,Negative
45,3104614,Nevada,10,2019,October 2019,12844629,4.137270849129715,2020,October 2020,13955948,4.495228070220646,8.652013226695765,Negative
46,3104614,Nevada,11,2019,November 2019,11905776,3.8348651394344033,2020,November 2020,10431323,3.359942008893859,-12.384350251508176,Negative
47,3104614,Nevada,12,2019,December 2019,12346449,3.976806456454812,2020,December 2020,12007113,3.867505912168147,-2.7484501819106044,Negative
96,7705281,Washington,1,2019,January 2019,37767197,4.901469135259311,2020,January 2020,41246904,5.353069407851576,9.213569648814552,Negative
97,7705281,Washington,2,2019,February 2019,31881103,4.1375652620585806,2020,February 2020,41124356,5.337164991127514,28.992889612382605,Negative
98,7705281,Washington,3,2019,March 2019,32889960,4.26849585368788,2020,March 2020,37336730,4.84560264576983,13.520144141251617,Negative
99,7705281,Washington,4,2019,April 2019,33404629,4.335290173064422,2020,April 2020,32511543,4.219384471507269,-2.6735396462568106,Negative
100,7705281,Washington,5,2019,May 2019,39117816,5.076753982106558,2020,May 2020,42680150,5.539077679321494,9.106679166342007,Negative
101,7705281,Washington,6,2019,June 2019,37053738,4.808875626988814,2020,June 2020,41388134,5.371398395464098,11.697594450524802,Negative
102,7705281,Washington,7,2019,July 2019,39728471,5.156005472091154,2020,July 2020,43463997,5.640806221083955,9.402642251195623,Negative
103,7705281,Washington,8,2019,August 2019,39864872,5.173707746674002,2020,August 2020,39536891,5.1311420050741825,-0.8227318527449431,Negative
104,7705281,Washington,9,2019,September 2019,31661406,4.109052739283616,2020,September 2020,34188610,4.437036105496996,7.981970225832674,Negative
105,7705281,Washington,10,2019,October 2019,30782428,3.9949779897709115,2020,October 2020,34491367,4.476328248119699,12.048883863222224,Negative
106,7705281,Washington,11,2019,November 2019,34832912,4.520654340834552,2020,November 2020,36495142,4.736380412343171,4.772009873880196,Negative
107,7705281,Washington,12,2019,December 2019,36869899,4.785016795623677,2020,December 2020,39994047,5.190472222881943,8.473437912048524,Negative
108,8631393,Virginia,1,2019,January 2019,35613246,4.126013726868885,2020,January 2020,38519235,4.462690437105575,8.159854341836741,Negative
109,8631393,Virginia,2,2019,February 2019,32932747,3.8154614208853657,2020,February 2020,34757198,4.026835297616503,5.5399296025928235,Negative
110,8631393,Virginia,3,2019,March 2019,30324945,3.5133315097574633,2020,March 2020,36091593,4.181433170752392,19.016186179397852,Negative
111,8631393,Virginia,4,2019,April 2019,26149094,3.029533471596068,2020,April 2020,31827940,3.687462730523335,21.717180717618746,Negative
112,8631393,Virginia,5,2019,May 2019,27470317,3.182605287466345,2020,May 2020,30764366,3.5642411369752254,11.991303194644605,Negative
113,8631393,Virginia,6,2019,June 2019,36083437,4.180488247957196,2020,June 2020,34306130,3.9745762937685725,-4.925547973714366,Negative
114,8631393,Virginia,7,2019,July 2019,41368792,4.792829152837786,2020,July 2020,43752009,5.068939509532239,5.760905467097032,Negative
115,8631393,Virginia,8,2019,August 2019,39877973,4.620108596607755,2020,August 2020,40265357,4.664989417119577,0.9714234973778633,Negative
116,8631393,Virginia,9,2019,September 2019,31845431,3.6894891705197526,2020,September 2020,30767960,3.564657523994099,-3.383439841024604,Negative
117,8631393,Virginia,10,2019,October 2019,24965945,2.8924583783868956,2020,October 2020,28029166,3.247351383490475,12.269597645913263,Negative
118,8631393,Virginia,11,2019,November 2019,25990273,3.011133081299855,2020,November 2020,27754982,3.2155854796554855,6.789882507197981,Negative
119,8631393,Virginia,12,2019,December 2019,34688361,4.018860107516828,2020,December 2020,35388801,4.100010392297048,2.019236365765451,Negative
